day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-07,-1,10,2016-01-07 13:00:00-06:00,165.34799999999998,2016-01-07 14:52:00-06:00,165.43200000000002,167.22,-8.4,short: close 165.41 < lower 165.60,flatten
2016-01-08,-1,18,2016-01-08 13:30:00-06:00,164.34799999999998,2016-01-08 14:00:00-06:00,164.502,165.29,-27.72,short: close 164.44 < lower 164.53,exit short: close 164.45 > lower 164.28
2016-01-11,-1,17,2016-01-11 12:30:00-06:00,162.59799999999998,2016-01-11 13:30:00-06:00,163.232,163.64000000000001,-107.78,short: close 162.66 < lower 162.69,exit short: close 163.17 > lower 162.64
2016-01-13,-1,16,2016-01-13 11:00:00-06:00,163.91799999999998,2016-01-13 14:52:00-06:00,161.312,164.98,416.96,short: close 164.01 < lower 164.22,flatten
2016-01-14,-1,22,2016-01-14 09:00:00-06:00,160.708,2016-01-14 09:15:00-06:00,161.532,161.47,-181.28,short: close 160.78 < lower 160.94,stop
2016-01-14,1,17,2016-01-14 09:30:00-06:00,162.782,2016-01-14 10:30:00-06:00,162.838,161.78,9.52,long: close 162.72 > upper 162.70,exit long: close 162.89 < upper 163.10
2016-01-20,-1,8,2016-01-20 10:00:00-06:00,155.558,2016-01-20 13:00:00-06:00,156.312,157.77,-60.32,short: close 155.62 < lower 156.42,exit short: close 156.25 > lower 156.15
2016-01-21,1,23,2016-01-21 09:30:00-06:00,158.852,2016-01-21 10:00:00-06:00,158.558,158.11,-67.62,long: close 158.78 > upper 158.43,exit long: close 158.60 < upper 158.71
2016-01-21,1,16,2016-01-21 10:30:00-06:00,158.852,2016-01-21 13:30:00-06:00,158.378,157.76,-75.84,long: close 158.80 > upper 158.79,exit long: close 158.46 < upper 158.98
2016-01-26,1,20,2016-01-26 09:00:00-06:00,160.222,2016-01-26 14:52:00-06:00,161.268,159.38,209.2,long: close 160.14 > upper 159.97,flatten
2016-01-27,-1,16,2016-01-27 09:30:00-06:00,159.738,2016-01-27 10:00:00-06:00,160.382,160.86,-103.04,short: close 159.80 < lower 159.95,exit short: close 160.30 > lower 159.65
2016-01-29,1,18,2016-01-29 09:00:00-06:00,162.532,2016-01-29 10:00:00-06:00,162.38799999999998,161.58,-25.92,long: close 162.43 > upper 162.02,exit long: close 162.42 < upper 162.50
2016-01-29,1,11,2016-01-29 11:00:00-06:00,163.032,2016-01-29 14:52:00-06:00,164.1503,161.34,123.01,long: close 162.96 > upper 162.77,flatten
2016-02-02,-1,14,2016-02-02 09:00:00-06:00,161.82799999999997,2016-02-02 10:30:00-06:00,162.24200000000002,163.07,-57.96,short: close 161.90 < lower 162.26,exit short: close 162.22 > lower 161.80
2016-02-02,-1,9,2016-02-02 13:00:00-06:00,161.238,2016-02-02 14:52:00-06:00,161.542,163.29,-27.36,short: close 161.29 < lower 161.45,flatten
2016-02-03,-1,15,2016-02-03 09:30:00-06:00,160.06799999999998,2016-02-03 10:00:00-06:00,160.972,161.23,-135.6,short: close 160.13 < lower 160.76,exit short: close 160.90 > lower 160.56
2016-02-04,1,17,2016-02-04 09:30:00-06:00,164.24200000000002,2016-02-04 10:30:00-06:00,163.628,163.22,-104.38,long: close 164.18 > upper 164.05,exit long: close 163.70 < upper 164.11
2016-02-05,-1,27,2016-02-05 09:00:00-06:00,163.208,2016-02-05 14:52:00-06:00,161.592,163.81,436.32,short: close 163.25 < lower 163.39,flatten
2016-02-08,-1,13,2016-02-08 09:00:00-06:00,159.178,2016-02-08 11:30:00-06:00,159.092,160.58,11.18,short: close 159.25 < lower 159.63,exit short: close 159.02 > lower 158.88
2016-02-08,-1,9,2016-02-08 12:00:00-06:00,158.798,2016-02-08 14:30:00-06:00,159.532,160.83,-66.06,short: close 158.87 < lower 159.01,exit short: close 159.47 > lower 158.87
