,S1r,S2r,S3r,combined
2016-01-07,-18.48,-187.2,0.0,-205.67999999999998
2016-01-08,-118.36,0.0,0.0,-118.36
2016-01-11,-107.92,91.96,0.0,-15.960000000000008
2016-01-12,0.0,112.88,40.95,153.82999999999998
2016-01-13,628.38,-188.16,-264.47,175.75
2016-01-14,33.08,115.29,-12.96,135.41
2016-01-15,0.0,36.63,0.0,36.63
2016-01-19,0.0,20.37,0.0,20.37
2016-01-20,-153.72,0.0,-24.56,-178.28
2016-01-21,-215.3,-45.9,-129.54,-390.74
2016-01-22,0.0,0.0,-70.07,-70.07
2016-01-25,0.0,69.6,109.18,178.78
2016-01-26,0.0,-89.4,81.36,-8.040000000000006
2016-01-27,-150.75,-14.4,-237.3,-402.45000000000005
2016-01-28,0.0,15.6,194.61,210.21
2016-01-29,362.1,42.6,0.0,404.70000000000005
2016-02-01,0.0,0.0,0.0,0.0
2016-02-02,164.38,0.0,-196.13,-31.75
2016-02-03,-274.78,-58.74,-189.29,-522.81
2016-02-04,0.0,0.0,0.0,0.0
2016-02-05,580.32,0.0,-233.06,347.26000000000005
2016-02-08,-47.08,0.0,0.0,-47.08
2016-02-09,0.0,0.0,268.53,268.53
2016-02-10,-59.92,0.0,0.0,-59.92
2016-02-11,0.0,0.0,-154.05,-154.05
2016-02-12,0.0,-15.9,23.32,7.42
2016-02-16,0.0,12.6,0.0,12.6
2016-02-17,84.32,0.0,0.0,84.32
2016-02-18,0.0,42.6,-181.62,-139.02
2016-02-19,0.0,0.0,140.59,140.59
2016-02-22,0.0,0.0,0.0,0.0
2016-02-23,0.0,2.45,0.0,2.45
2016-02-24,0.0,0.0,7.54,7.54
2016-02-25,0.0,0.0,0.0,0.0
2016-02-26,0.0,-12.88,0.0,-12.88
2016-02-29,-46.92,0.0,0.0,-46.92
2016-03-01,212.76,0.0,-125.41,87.35
2016-03-02,0.0,-176.5,24.72,-151.78
2016-03-03,-94.48,-69.0,-105.24,-268.72
2016-03-04,-66.6,0.0,0.0,-66.6
2016-03-07,-7.13,0.0,-26.4,-33.53
2016-03-08,0.0,104.14,83.92,188.06
2016-03-09,0.0,0.0,0.0,0.0
2016-03-10,-175.79,-189.0,97.68,-267.10999999999996
2016-03-11,0.0,33.5,0.0,33.5
2016-03-14,0.0,0.0,9.26,9.26
2016-03-15,0.0,0.0,0.0,0.0
2016-03-16,70.18,-48.95,0.0,21.230000000000004
2016-03-17,0.0,0.0,65.61,65.61
2016-03-18,-184.8,0.0,161.64,-23.160000000000025
2016-03-21,0.0,0.0,0.0,0.0
2016-03-22,-7.28,-4.8,0.0,-12.08
2016-03-23,-13.16,-64.8,0.0,-77.96
